Name, price ,Categories,ID,Description,
Chancellor's Club , $4.25 ,SE Deli Signature sandwich,1,"Smoked Turkey, baked Ham, Monterey Jack, Lettuce, Tomato, Bacon and chipotle Ranch on a Hoagie",
Gus' Italian Sensation, $4.00 ,SE Deli Signature sandwich,2,"Salami Pepperoni, Baked Ham, Provolone Cheese, Lettuce, Tomato and Banana peprs with Italian Dressing on a Hoagie",
Grenadier Deluxe , $4.00 ,SE Deli Signature sandwich,3,,
Southeast Supreme , $4.00 ,SE Deli Signature sandwich,4,"Baked Ham, Roast Beef, pepper Jack Cheese, Bacon, Lettuce, Tomato, Banana Peppers and Ranch Dressing on a Hoagie",
Classic Chicken Salad, $3.25 ,SE Deli Signature sandwich,5,,
Traditional Tuna Salad, $3.25 ,SE Deli Signature sandwich,6,,
BLT , $3.25 ,SE Deli Signature sandwich,7,,
Pizza Panini, $4.75 ,SE Deli Signature sandwich,8,,
Grilled Cheese , $2.00 ,SE Deli Campus Favorites,9,,
Grilled Ham and Cheese , $2.50 ,SE Deli Campus Favorites,10,,
Cheese Quesadilla , $3.00 ,SE Deli Campus Favorites,11,,
Deluxe cheese Quesadilla , $3.50 ,SE Deli Campus Favorites,12,,
chicken & cheese Quesadilla, $4.00 ,SE Deli Campus Favorites,13,,
Fajita Quesadilla , $4.75 ,SE Deli Campus Favorites,14,,
Veggie Wrap , $3.75 ,SE Deli Wraps,15,,
Turkey Bacon Ranch Wrap , $4.00 ,SE Deli Wraps,16,,
Chicken Bacon Ranch Wrap , $4.00 ,SE Deli Wraps,17,,
Caesar Wrap , $3.25 ,SE Deli Wraps,18,,
Chicken Caesar Wrap , $4.00 ,SE Deli Wraps,19,,
Fiesta Fajita Wrap , $4.75 ,SE Deli Wraps,20,,
1/4 lb. Cheeseburger Basket, $5.95 ,Grill Combo,21,,
1/4 lb. Bacon Cheeseburger Basket, $6.45 ,Grill Combo,22,,
Grilled Chicken Sandwich Basket, $5.95 ,Grill Combo,23,,
Chicken Tenders , $5.95 ,Grill Combo,24,,
Veggie Burger Basket , $6.70 ,Grill Combo,25,,
1/4 lb. Hamburger, $3.50 ,Grill A la Carte,26,,
1/4 lb. Cheeseburger, $3.75 ,Grill A la Carte,27,,
1/4 lb. Bacon Cheeseburger, $4.25 ,Grill A la Carte,28,,
Double Hamburger, $5.00 ,Grill A la Carte,29,,
Double CheeseBurger, $5.25 ,Grill A la Carte,30,,
Double Bacon CheeseBurger, $5.75 ,Grill A la Carte,31,,
Veggie Burger, $4.50 ,Grill A la Carte,32,,
Grilled Chicken Sandwich , $3.75 ,Grill A la Carte,33,,
3 chicken Tenders , $3.75 ,Grill A la Carte,34,,
All Beef Hot Dogs , $1.85 ,Grill A la Carte,35,,
French Fries, $1.25 ,Grill A la Carte,36,,
Tater Tots, $1.25 ,Grill A la Carte,37,,
Onion Rings , $1.75 ,Grill A la Carte,38,,
Fried Pickles , $1.75 ,Grill A la Carte,39,,
Breakfast Burrito , $3.95 ,Breakfast,40,,
Big Breakfast, $5.50 ,Breakfast,41,,
Pancake Breakfast, $6.50 ,Breakfast,42,,
Omelet Breakfast, $6.65 ,Breakfast,43,,
Egg & Cheese with Biscuit, $1.95 ,Breakfast Sanwich,44,,
Egg & Cheese with Begel, $2.25 ,Breakfast Sanwich,45,,
Egg & Cheese with Croissant, $2.50 ,Breakfast Sanwich,46,,
Bacon & Egg with Biscuit, $2.30 ,Breakfast Sanwich,47,,
Bacon & Egg with Begel, $2.60 ,Breakfast Sanwich,48,,
Bacon & Egg with Croissant , $2.50 ,Breakfast Sanwich,49,,
"Bacon, Egg & Cheese Biscuit", $2.55 ,Breakfast Sanwich,50,,
"Bacon, Egg & Cheese Begel", $2.85 ,Breakfast Sanwich,51,,
"Bacon, Egg & Cheese Croissant", $3.10 ,Breakfast Sanwich,52,,
Sausage, $0.95 ,Breakfast A la Carte ,53,,
Toast, $1.00 ,Breakfast A la Carte ,54,,
Biscuit, $1.25 ,Breakfast A la Carte ,55,,
English Muffin, $1.25 ,Breakfast A la Carte ,56,,
2 Hashbrowns , $1.25 ,Breakfast A la Carte ,57,,
Begel w/cream cheese, $1.45 ,Breakfast A la Carte ,58,,
croissant, $1.50 ,Breakfast A la Carte ,59,,
2 Eggs , $1.50 ,Breakfast A la Carte ,60,,
2 Eggs w/cheese, $1.75 ,Breakfast A la Carte ,61,,
3 slices Bacon , $1.95 ,Breakfast A la Carte ,62,,
Pancakes, $3.25 ,Breakfast A la Carte ,63,,
Omlet , $3.75 ,Breakfast A la Carte ,64,,
